Faculty;Programme;Academic_Plan_Code;Qualification_Type;Duration_Years;Campus;Min_AP;English_Requirement;Mathematics_Requirement;MathLit_Accepted;Life_Sciences_Requirement;Physical_Sciences_Requirement;Additional_Subject_Requirements;Subject_to_Selection;Application_Closing_Date;Special_Notes;Source;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Chemical Sciences — Chemistry and Physics;BC432140;Bachelor's Degree;3;Bloemfontein;32;Level 4 (50%);Level 5 (60%);No;Not required;Level 5 (60%);Life Sciences NOT required for this combination;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Chemical Sciences — Chemistry and Botany;BC432120;Bachelor's Degree;3;Bloemfontein;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Level 5 (60%);;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Physical Sciences — Physics and Agrometeorology;BC434012;Bachelor's Degree;3;Bloemfontein;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Level 5 (60%);;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Physical Sciences — Physics and Astrophysics;BC434017;Bachelor's Degree;3;Bloemfontein;32;Level 4 (50%);Level 6 (70%);No;Not required;Level 5 (60%);Higher Maths requirement (L6); Life Sciences not required;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Physical Sciences with Engineering Subjects — Physics and Engineering;BC434026;Bachelor's Degree;3;Bloemfontein;30;Level 4 (50%);Level 6 (70%);No;Not required;Level 5 (60%);Maths L6;PhysSci L5;lower AP (30) than most BSc programmes despite high Maths requirement;Yes;30 September 2025;Subject to selection; Bloemfontein only; prepares students for engineering or applied physics careers;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Geography — Geography and Environmental Science;BC433362;Bachelor's Degree;3;Bloemfontein;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Not required;Maths L5 AND Life Sci L5; Physical Sciences NOT required;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Geography — Geography (full specialisation);BC433333;Bachelor's Degree;3;Bloemfontein;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Level 5 (60%);Maths L5 AND Life Sci L5 AND PhysSci L5 all required;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Geography — Geoinformatics;BC430069;Bachelor's Degree;3;Bloemfontein;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Level 5 (60%);Maths L5 AND Life Sci L5 AND PhysSci L5 all required; GIS and spatial technology focus;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Geology — multiple majors (Bloemfontein);B4341 / BC43xxxx;Bachelor's Degree;3;Bloemfontein;30;Level 4 (50%);Level 5 (60%);No;Not required;Level 5 (60%);Maths L5 AND PhysSci L5; Life Sciences NOT required;lower AP (30) than most BSc programmes;No;30 September 2025;Available majors: Geology & Chemistry; Environmental Geology; Geochemistry; Geology Specialisation; Geology & Physics — all share identical requirements; final admission subject to space;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc IT — Computer Science and Chemistry;BC432221;Bachelor's Degree;3;Bloemfontein;32;Level 4 (50%);Level 5 (60%);No;Not required;Level 5 (60%);Maths L5 AND PhysSci L5;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc IT — Computer Science and Physics;BC432240;Bachelor's Degree;3;Bloemfontein;32;Level 4 (50%);Level 5 (60%);No;Not required;Level 5 (60%);Maths L5 AND PhysSci L5;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc IT — Computer Science and Mathematical Statistics;BC432237;Bachelor's Degree;3;Bloemfontein;32;Level 4 (50%);Level 6 (70%);No;Not required;Level 5 (60%);Higher Maths (L6);PhysSci L5;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc IT — Computer Science and Mathematics;BC432238;Bachelor's Degree;3;Bloemfontein;32;Level 4 (50%);Level 6 (70%);No;Not required;Level 5 (60%);Higher Maths (L6);PhysSci L5;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc IT — Data Science;BC432295;Bachelor's Degree;3;Bloemfontein;32;Level 4 (50%);Level 6 (70%);No;Not required;Level 5 (60%);Maths L6 AND PhysSci L5;Yes;30 September 2025;Subject to selection process;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc IT — Computer Science and Business Management;BC432255;Bachelor's Degree;3;Bloemfontein;32;Level 4 (50%);Level 5 (60%);No;Not required;Level 4 (50%);Maths L5;Physical Sciences at L4 (lower than other CS combinations);No;30 September 2025;Lower PhysSci requirement (L4) makes this combination more accessible;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;Bachelor of Computer Information Systems (CompInfoSys);BC430156;Bachelor's Degree;3;Bloemfontein;30;Level 4 (50%);Level 4 (50%);No;Not required;Not required;Maths L4; Physical Sciences NOT required;lower AP (30) and lower Maths (L4) compared to BSc IT;No;30 September 2025;Lower entry threshold than BSc IT programmes; business-oriented IT qualification;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;Bachelor of Sustainable Food Systems;BC430223;Bachelor's Degree;3;Bloemfontein;30;Level 4 (50%);Level 2 (30%);Yes — Mathematical Literacy at Level 5 (60%) also accepted;Not required;Not required;Very low Maths threshold (L2) or MathLit L5; no Life Sci or PhysSci requirement;No;30 September 2025;Lowest Maths requirement in the NAS faculty; interdisciplinary food systems degree;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;Bachelor of Architecture (BArch);BC430114;Bachelor's Degree;3;Bloemfontein;30;Level 4 (50%);Level 4 (50%);No;Not required;Not required;Maths L4; Life Sciences and Physical Sciences NOT required; portfolio/selection process required;Yes;31 July 2025;Subject to selection;must print and submit selection form to NoReplyArchiSelect@ufs.ac.za by 31 July 2025;notification of outcome by 30 November 2025; SACAP-accredited; graduates eligible to register as architectural draughtsperson, technologist or professional architect;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Construction Economics and Management — Full-time;BC432443;Bachelor's Degree;3;Bloemfontein;30;Level 4 (50%);Level 5 (60%);No;Not required;Not required;Maths L5;ONE of Economics OR Business Studies OR Accounting OR Physical Sciences at Level 4;Yes;30 September 2025;Subject to selection; SACQSP-, SACPCMP- and SACPVP-accredited;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Building Sciences — Construction Management (Compact Learning);BC432401;Bachelor's Degree;3;Bloemfontein;30;Level 4 (50%);Level 5 (60%);No;Not required;Not required;Maths L5;ONE of Economics OR Business Studies OR Accounting OR PhysSci at L4;Yes;30 September 2025;Compact Learning mode — applicant MUST be at least 23 years of age AND provide proof of full-time employment in the construction industry;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Building Sciences — Quantity Surveying (Compact Learning);BC434301;Bachelor's Degree;3;Bloemfontein;30;Level 4 (50%);Level 5 (60%);No;Not required;Not required;Maths L5;ONE of Economics OR Business Studies OR Accounting OR PhysSci at L4;Yes;30 September 2025;Compact Learning mode — applicant MUST be at least 23 years of age AND provide proof of full-time employment in the construction industry;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;Bachelor of Agriculture — Agricultural Extension;BC530147;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%);Level 3 (40%);Yes — Mathematical Literacy at Level 7 (80%) accepted IF AP is 31 or above;Not required;Not required;Maths L3 or MathLit L7 (with AP 31+);No;30 September 2025;Four-year professional degree; MathLit exemption NOT available for Agricultural Economics major;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;Bachelor of Agriculture — Animal Production Management;BC530101;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%);Level 3 (40%);Yes — Mathematical Literacy at Level 7 (80%) accepted IF AP is 31 or above;Not required;Not required;Maths L3 or MathLit L7 (with AP 31+);No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;Bachelor of Agriculture — Crop Production Management;BC530102;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%);Level 3 (40%);Yes — Mathematical Literacy at Level 7 (80%) accepted IF AP is 31 or above;Not required;Not required;Maths L3 or MathLit L7 (with AP 31+);No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;Bachelor of Agriculture — Mixed Farming Management;BC530103;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%);Level 3 (40%);Yes — Mathematical Literacy at Level 7 (80%) accepted IF AP is 31 or above;Not required;Not required;Maths L3 or MathLit L7 (with AP 31+);No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;Bachelor of Agriculture — Irrigation Management;BC530172;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%);Level 3 (40%);Yes — Mathematical Literacy at Level 7 (80%) accepted IF AP is 31 or above;Not required;Not required;Maths L3 or MathLit L7 (with AP 31+);No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;Bachelor of Agriculture — Agricultural Economics;BC530111;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%);Level 4 (50%);No — MathLit NOT accepted for Agricultural Economics;Not required;Not required;Higher Maths requirement (L4); MathLit explicitly NOT accepted for this major;No;30 September 2025;Mathematical Literacy is NOT acceptable for Agricultural Economics — Maths L4 compulsory;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;Bachelor of Agriculture — Agricultural Management;BC530152;Bachelor's Degree;4;Bloemfontein;30;Level 4 (50%);Level 3 (40%);Yes — Mathematical Literacy at Level 7 (80%) accepted IF AP is 31 or above;Not required;Not required;Maths L3 or MathLit L7 (with AP 31+);No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Agriculture — Animal Science;BC540015;Bachelor's Degree;4;Bloemfontein;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Level 5 (60%);Maths L5;PLUS two of Life Sciences / Agricultural Sciences / Physical Sciences at L5; Physical Sciences compulsory if Chemistry modules are required;No;30 September 2025;VERY IMPORTANT: Life Sciences OR Agricultural Sciences (with PhysSci and Maths) required for all BSc Agriculture programmes except BSc Agricultural Economics;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Agriculture — Agrometeorology;BC540012;Bachelor's Degree;4;Bloemfontein;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Level 5 (60%);Two of Life Sciences / Agricultural Sciences / Physical Sciences at L5;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Agriculture — Agronomy;BC540013;Bachelor's Degree;4;Bloemfontein;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Level 5 (60%);Two of Life Sciences / Agricultural Sciences / Physical Sciences at L5;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Agriculture — Soil Science;BC540044;Bachelor's Degree;4;Bloemfontein;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Level 5 (60%);Two of Life Sciences / Agricultural Sciences / Physical Sciences at L5;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Agriculture — Plant Breeding;BC540041;Bachelor's Degree;4;Bloemfontein;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Level 5 (60%);Two of Life Sciences / Agricultural Sciences / Physical Sciences at L5;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Agriculture — Plant Pathology;BC540042;Bachelor's Degree;4;Bloemfontein;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Level 5 (60%);Two of Life Sciences / Agricultural Sciences / Physical Sciences at L5;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc in Agricultural Economics;BC431100;Bachelor's Degree;3;Bloemfontein;32;Level 4 (50%);Level 5 (60%);No;Not required;Not required;Maths L5; Life Sciences and Physical Sciences NOT required;No;30 September 2025;Three-year degree; distinct from four-year Bachelor of Agriculture in Agricultural Economics;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Biological Sciences — Botany and Life Sciences (Qwaqwa);QC432075;Bachelor's Degree;3;Qwaqwa;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Level 5 (60%);;No;30 September 2025;Qwaqwa Campus only; students must pass first-semester modules to continue to second semester;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Biological Sciences — Life Sciences (Qwaqwa);QC437500;Bachelor's Degree;3;Qwaqwa;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Level 5 (60%);;No;30 September 2025;Qwaqwa Campus only;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Biological Sciences — Zoology and Life Sciences (Qwaqwa);QC434975;Bachelor's Degree;3;Qwaqwa;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Level 5 (60%);;No;30 September 2025;Qwaqwa Campus only;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Chemical Sciences — Chemistry and Physics (Qwaqwa);QC432140;Bachelor's Degree;3;Qwaqwa;32;Level 4 (50%);Level 5 (60%);No;Not required;Level 5 (60%);Maths L5 AND PhysSci L5; Life Sciences not required;No;30 September 2025;Qwaqwa Campus only;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Chemical Sciences — Chemistry and Botany (Qwaqwa);QC432120;Bachelor's Degree;3;Qwaqwa;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Level 5 (60%);Maths L5 AND Life Sci L5 AND PhysSci L5;No;30 September 2025;Qwaqwa Campus only;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc IT — Computer Science and Chemistry (Qwaqwa);QC432221;Bachelor's Degree;3;Qwaqwa;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Not required;Maths L5 AND Life Sci L5; Physical Sciences not listed as separate requirement;No;30 September 2025;Qwaqwa Campus only;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc IT — Computer Science and Physics (Qwaqwa);QC432240;Bachelor's Degree;3;Qwaqwa;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Not required;Maths L5 AND Life Sci L5;No;30 September 2025;Qwaqwa Campus only;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc IT — Computer Science and Management (Qwaqwa);QC432202;Bachelor's Degree;3;Qwaqwa;32;Level 4 (50%);Level 5 (60%);No;Level 4 (50%);Not required;Maths L5;Life Sciences at L4 (lower than science combinations); Physical Sciences not required;No;30 September 2025;Qwaqwa Campus only; management component reduces science thresholds;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Geography — Geography and Environmental Geography (Qwaqwa);QC433359;Bachelor's Degree;3;Qwaqwa;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Not required;Maths L5 AND Life Sci L5; Physical Sciences not required;No;30 September 2025;Qwaqwa Campus only;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;
Natural and Agricultural Sciences;BSc Geography — Geography (Qwaqwa);QC433333;Bachelor's Degree;3;Qwaqwa;32;Level 4 (50%);Level 5 (60%);No;Level 5 (60%);Level 5 (60%);Maths L5 AND Life Sci L5 AND PhysSci L5;No;30 September 2025;Qwaqwa Campus only;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Humanities;Higher Certificate in Music Performance;BC111044;Higher Certificate;1;Bloemfontein;20;Level 4 (50%);Not required;Not required;Not required;Not required;Compulsory audition and musical aptitude test on chosen instrument or singing before 30 September 2025;Yes;30 September 2025;Lowest AP requirement at UFS (20); subject to selection;contact Odeion School of Music on +27 51 401 2810 or osm@ufs.ac.za for audition appointment;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;
Humanities;Diploma in Music;BC120044;Diploma;3;Bloemfontein;25;Level 4 (50%);Not required;Not required;Not required;Not required;Unisa Grade 5 in principal instrument or voice (or equivalent);Unisa Grade 3 Music Theory advised;compulsory audition and theory proficiency test before 30 September 2025;Yes;30 September 2025;Subject to selection; contact Odeion School of Music for audition appointment;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;
Humanities;BA Language Practice;BC130039;Bachelor's Degree;3;Bloemfontein;30;Level 5 (60%) — higher than default;Home Language OR 65% for First Additional Language;Not required;Not required;Not required;Not required;HL at Level 5 OR FAL at 65%; A second additional language does NOT count for admission;Yes;30 September 2025;Subject to selection; higher English requirement than other BA programmes;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;
Humanities;BA Governance and Political Transformation;BC130031;Bachelor's Degree;3;Bloemfontein;30;Level 4 (50%);Not required;Not required;Not required;Not required;;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Humanities;BA Integrated Organisational Communication;BC130038;Bachelor's Degree;3;Bloemfontein;30;Level 4 (50%);Not required;Not required;Not required;Not required;;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Humanities;BA Journalism;BC130035;Bachelor's Degree;3;Bloemfontein;30;Level 4 (50%);Not required;Not required;Not required;Not required;;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Humanities;BA Fine Arts;BC140025;Bachelor's Degree;3;Bloemfontein;30;Level 4 (50%);Not required;Not required;Not required;Not required;Portfolio of creative work and selection form required;closing date for portfolio submission 30 September 2025;Yes;30 September 2025;Subject to selection; portfolio required;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;
Humanities;BA Drama and Theatre Arts;BC130020;Bachelor's Degree;3;Bloemfontein;30;Level 4 (50%);Not required;Not required;Not required;Not required;Drama experience at school level recommended; compulsory audition and interview for selection;Yes;30 September 2025;Subject to selection; audition required;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;
Humanities;BA General;BC137000;Bachelor's Degree;3;Bloemfontein;30;Level 4 (50%);Not required;Not required;Not required;Not required;Students wishing to major in Geography must have passed Mathematics at Grade 12 Level 3 (40%); wide range of majors available;No;30 September 2025;Available majors include: Ancient Near Eastern Studies; Philosophy; History; Classical Studies; Classical Languages; Art History and Image Studies; Linguistics;Geography (Maths L3 required); Political Science; Criminology; Psychology; English; Hebrew; Arabic; French; German; Anthropology; Sociology; Sesotho HL; isiZulu HL; Afrikaans; South African Sign Language;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;
Humanities;BA specialising in Languages;BC137500;Bachelor's Degree;3;Bloemfontein;30;Level 4 (50%);Not required;Not required;Not required;Not required;;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Humanities;Bachelor of Music (BMus) / BA Music;BC140544;Bachelor's Degree;3;Bloemfontein;30;Level 4 (50%);Not required;Not required;Not required;Not required;Unisa Grade 7 in principal instrument or voice;Unisa Grade 5 Music Theory;compulsory audition and theory proficiency test before 30 September 2025;Yes;30 September 2025;Subject to selection;high prior musical attainment required (Unisa Grade 7 instrument or voice);https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;
Humanities;Bachelor of Social Sciences (BSocSci);BC138000;Bachelor's Degree;3;Bloemfontein;30;Level 4 (50%);Not required;Not required;Not required;Not required;Two-major degree; available majors: Psychology; Sociology; Anthropology; Criminology; Political Science; Industrial Psychology;No;30 September 2025;;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;
Humanities;Bachelor of Social Work;BC140250;Bachelor's Degree;4;Bloemfontein;30;Level 5 (60%) — higher than default;Not required;Not required;Not required;Not required;Higher English requirement (L5); four-year professional degree;Yes;31 July 2025;Subject to selection;closing date 31 July 2025; SACSSP registration pathway;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;
Humanities;BA General (Qwaqwa);QC137000;Bachelor's Degree;3;Qwaqwa;30;Level 4 (50%);Not required;Not required;Not required;Not required;;No;30 September 2025;Qwaqwa Campus only;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Humanities;Bachelor of Social Sciences (BSocSci) (Qwaqwa);QC138000;Bachelor's Degree;3;Qwaqwa;30;Level 4 (50%);Not required;Not required;Not required;Not required;Same two-major structure as Bloemfontein BSocSci;No;30 September 2025;Qwaqwa Campus only;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;;;;
Humanities;Bachelor of Community Development (BCommDev) (Qwaqwa);QC140400;Bachelor's Degree;4;Qwaqwa;30;Level 5 (60%) — higher than default;Not required;Not required;Not required;Not required;Higher English requirement (L5);alternatively: Diploma in Vocational Skills with minimum Level 4 pass in English also acceptable;Yes;30 August 2025;Subject to selection; Qwaqwa Campus only;closing date 30 August 2025;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;;
Theology and Religion;Bachelor of Divinity (BDiv);BC940301;Bachelor's Degree;4;Bloemfontein;28;Level 4 (50%);Not required;Not required;Not required;Not required;Selection form COMPULSORY — link available during online application; applicants who have not completed selection form will NOT be considered; UFS Academic Literacy test required at registration;Yes;30 September 2025;Lowest AP among degree-granting faculties (28); subject to committee selection based on submitted selection form; Bloemfontein only;https://www.ufs.ac.za/docs/librariesprovider44/study-at-the-ufs/2026-ufs-prospectus.pdf;;;;;;;;;;;;;;;;;;;;
